,Bag_Number,Plot_ID,Block,Fragment_location,Fragment_Type,Habitat_Treatment,Plot_Type,Buoyant_weight_Initial,Salinity_initial,Temperature_Initial,Initial_SW_density.kg.m3.,Buoyantweight_final,Temp_Final,Salin_final,Tag_number,Final_SW_density.kg.m3.,Plot_Recovered,Consolidation,Initial_est_weight,Initial_est_weight_corr,Final_est_weight,Final_est_weight_corr,Diff_weight,z_correct,Diff_weight_corr,proplost_corr,frag_recover
141,57,B9_DC1_EX,9,Center,DCOR,DCOR,Exclosure,11.98,34,26.8,1022.03,12.01,27.1,33.1,372,1021.26,yes,Yes,18.39724943,18.39724943,18.43587917,18.43587917,-0.038629734,0.039559026,-0.038629734,-0.002099756,1
142,58,B9_DC2_EX,9,Corner,DCOR,DCOR,Exclosure,6,34,26.8,1022.03,1.76,27.1,33.1,372,1021.26,yes,No,9.213981352,9.213981352,2.701677546,2.701677546,6.512303805,0.018355601,6.512303805,0.706785,1
143,25,B10_Z_EX,10,Center,ZPUL,ZPUL,Exclosure,24.7,33.5,28.3,1021.17,31.77,27.1,33.1,373,1021.26,yes,Yes,37.9138006,35.55821025,48.7683498,45.73836461,-10.8545492,0.062130156,-10.18015436,-0.286295466,1
144,130,B10_Z_EX,10,Corner,DCOR,ZPUL,Exclosure,15.2,34,26.7,1022.06,3.82,27.1,33.1,373,1021.26,yes,No,23.34245312,23.34245312,5.863868311,5.863868311,17.47858481,8.74E-05,17.47858481,0.748789543,1
145,119,B10_DC1_OP,10,Center,DCOR,DCOR,Open,10.36,34,26.8,1022,NA,NA,NA,374,NA,yes,No,15.90922432,15.90922432,NA,NA,NA,0.047347285,NA,NA,0
146,120,B10_DC2_OP,10,Corner,DCOR,DCOR,Open,6.25,34,26.8,1022,NA,NA,NA,374,NA,yes,No,9.597746331,9.597746331,NA,NA,NA,0.005701021,NA,NA,0
147,59,B10_DC1_EX,10,Center,DCOR,DCOR,Exclosure,14.34,34,26.8,1022.03,11.49,27.1,33.1,375,1021.26,yes,No,22.02141543,22.02141543,17.63765625,17.63765625,4.383759176,0.006487609,4.383759176,0.199068002,1
148,60,B10_DC2_EX,10,Corner,DCOR,DCOR,Exclosure,9.07,34,26.8,1022.03,NA,NA,NA,375,NA,yes,No,13.92846848,13.92846848,NA,NA,NA,0.014009018,NA,NA,0
149,79,B10_DC1_EN,10,Center,DCOR,DCOR,Enclosure,9.18,34,26.8,1022.03,3.78,27.1,33.1,376,1021.26,yes,No,14.09739147,14.09739147,5.802466549,5.802466549,8.29492492,0.011249747,8.29492492,0.588401403,1
150,80,B10_DC2_EN,10,Corner,DCOR,DCOR,Enclosure,9.07,34,26.8,1022.03,NA,NA,NA,376,NA,yes,No,13.92846848,13.92846848,NA,NA,NA,0.029417333,NA,NA,0
151,99,B10_DC1_PC,10,Center,DCOR,DCOR,Partial,9.22,34,26.8,1022.03,NA,NA,NA,377,NA,yes,No,14.15881801,14.15881801,NA,NA,NA,0.073682799,NA,NA,0
152,100,B10_DC2_PC,10,Corner,DCOR,DCOR,Partial,13.3,34,26.8,1022.03,NA,NA,NA,377,NA,yes,No,20.42432533,20.42432533,NA,NA,NA,0.02548453,NA,NA,0
153,31,B10_Z_PC,10,Center,ZPUL,ZPUL,Partial,29.24,33.9,27.8,1021.63,NA,NA,NA,378,NA,yes,No,44.89339069,42.90511146,NA,NA,NA,0.044288908,NA,NA,0
154,150,B10_Z_PC,10,Corner,DCOR,ZPUL,Partial,5.57,33.9,26.5,1022.05,NA,NA,NA,378,NA,yes,No,8.553735685,8.553735685,NA,NA,NA,0.023482591,NA,NA,0
155,36,B10_Z_OP,10,Center,ZPUL,ZPUL,Open,10.12,34,27.6,1021.77,8.64,27.1,33.1,379,1021.26,yes,No,15.53879773,14.69882462,13.26278068,12.5458411,2.276017051,0.054056506,2.152983522,0.146473176,1
156,160,B10_Z_OP,10,Corner,DCOR,ZPUL,Open,12.7,33.9,26.5,1022.05,NA,NA,NA,379,NA,yes,No,19.50313163,19.50313163,NA,NA,NA,0.076626019,NA,NA,0
157,26,B10_Z_EN,10,Center,ZPUL,ZPUL,Enclosure,18.24,33.9,28,1021.57,21.45,27.1,33.1,380,1021.26,yes,Yes,28.00375178,28.33839171,32.9266951,33.32016334,-4.922943322,-0.011949825,-4.981771633,-0.175795849,1
158,140,B10_Z_EN,10,Corner,DCOR,ZPUL,Enclosure,13.53,34,26.5,1022.12,NA,NA,NA,380,NA,yes,No,20.77850808,20.77850808,NA,NA,NA,0.042357675,NA,NA,0
